date,id,name,absolute_magnitude_h,is_potentially_hazardous,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km
2026-03-23,54131485,(2021 EH4),24.94,False,27.3246732042,61.0998267476,16.8688256786,61152394.65209008
2026-03-23,54134954,(2021 GP2),27.6,False,8.0270316728,17.948988478,27.5749268305,53825041.1334798
2026-03-23,54253542,(2022 EG4),24.48,False,33.7718597164,75.5161740526,9.8643495539,53151991.594793975
2026-03-23,54264233,(2022 FY),27.87,False,7.0885103303,15.8503909578,6.5009237893,3923255.138663883
2026-03-23,54305029,(2022 SR2),28.01,False,6.6459179714,14.8607243569,24.333389243,12773984.756065328
2026-03-23,54341466,(2023 CE1),25.2,False,24.2412481101,54.2050786336,6.7884887231,12993356.987486064
2026-03-23,54403806,(2023 VP4),28.49,False,5.3278866487,11.913516723,4.5302750147,21891117.03366024
2026-03-23,54435204,(2024 HN),24.34,False,36.0209345803,80.5452583346,18.5142850175,67200249.54146017
2026-03-23,54606511,(2026 FQ1),26.899,False,11.0854920951,24.7879138887,5.4765809138,6817716.465229613
2026-03-23,54606573,(2026 FL3),27.957,False,6.8101233243,15.2278986882,4.3682304478,1763070.482781621
2026-03-23,54606673,(2026 FU3),27.748,False,7.4981647168,16.7664060133,10.0968710702,1195197.731210758
